H,S,V,R,G,B,bias,label
46.0,130.0,97.0,42.0,164.0,130.0,1.0,1.0
49.0,124.0,100.0,40.0,155.0,124.0,1.0,1.0
53.0,124.0,112.0,35.0,146.0,125.0,1.0,1.0
58.5,132.0,114.0,38.0,141.0,132.0,1.0,1.0
63.0,151.0,124.0,39.0,147.0,151.0,1.0,1.0
55.0,139.0,108.0,41.0,154.0,139.0,1.0,1.0
54.0,138.0,107.0,41.0,155.0,138.0,1.0,1.0
59.0,135.0,116.0,38.0,143.0,135.0,1.0,1.0
50.0,136.0,106.0,40.0,161.0,136.0,1.0,1.0
48.0,134.0,103.0,41.0,163.0,134.0,1.0,1.0
52.0,115.0,93.0,41.0,140.0,115.0,1.0,1.0
59.0,120.0,104.0,39.0,129.0,120.0,1.0,1.0
60.0,128.0,121.0,34.0,137.0,129.0,1.0,1.0
57.0,134.0,124.0,34.0,147.0,134.0,1.0,1.0
53.0,125.0,114.0,35.0,146.0,125.0,1.0,1.0
51.0,114.0,96.0,39.0,141.0,114.0,1.0,1.0
64.0,132.0,117.0,37.0,134.0,133.0,1.0,1.0
62.0,133.0,116.0,38.0,137.0,133.0,1.0,1.0
61.0,128.0,104.0,41.0,134.0,128.0,1.0,1.0
60.0,123.0,109.0,37.0,132.0,124.0,1.0,1.0
59.0,128.0,107.0,39.0,138.0,128.0,1.0,1.0
58.0,124.0,108.0,38.0,136.0,124.0,1.0,1.0
64.0,136.0,122.0,37.0,137.0,138.0,1.0,1.0
58.0,134.0,106.0,41.0,144.0,134.0,1.0,1.0
90.0,144.0,152.0,28.0,105.0,155.0,1.0,1.0
68.0,145.0,122.0,40.0,137.0,146.0,1.0,1.0
71.0,160.0,135.5,38.0,143.0,160.0,1.0,1.0
64.0,134.0,123.0,35.0,133.0,135.0,1.0,1.0
71.0,155.0,129.0,40.0,140.0,155.0,1.0,1.0
57.0,136.0,108.0,41.0,148.0,136.0,1.0,1.0
65.0,145.0,118.0,40.0,141.0,146.0,1.0,1.0
68.0,143.0,113.0,42.0,133.0,143.0,1.0,1.0
70.0,144.0,126.0,37.0,130.0,144.0,1.0,1.0
57.0,136.0,114.0,39.0,148.0,136.0,1.0,1.0
57.0,136.0,113.0,38.0,150.0,137.0,1.0,1.0
70.0,151.0,150.0,29.0,142.0,158.0,1.0,1.0
62.0,140.0,129.0,34.0,143.0,141.0,1.0,1.0
63.0,144.0,129.0,36.0,145.0,145.0,1.0,1.0
53.0,136.0,109.0,40.0,156.0,136.0,1.0,1.0
70.0,145.0,131.0,36.0,131.0,145.0,1.0,1.0
65.0,137.0,112.0,40.0,133.0,137.0,1.0,1.0
73.0,145.0,132.0,36.0,127.0,145.0,1.0,1.0
66.0,137.0,115.0,39.0,132.0,137.0,1.0,1.0
69.0,144.0,128.0,36.0,133.0,144.0,1.0,1.0
74.0,154.0,142.0,34.0,133.0,154.0,1.0,1.0
71.0,148.0,132.0,36.0,133.0,148.0,1.0,1.0
68.0,141.0,127.0,36.0,132.0,141.0,1.0,1.0
68.0,149.0,122.0,40.0,138.0,149.0,1.0,1.0
75.0,146.0,131.0,36.0,123.0,146.0,1.0,1.0
47.0,112.0,108.0,33.0,149.0,114.0,1.0,1.0
59.0,127.0,130.0,29.0,140.0,131.0,1.0,1.0
63.0,129.0,131.0,30.0,136.0,133.0,1.0,1.0
66.0,136.0,126.0,34.0,132.0,137.0,1.0,1.0
54.0,119.5,123.0,28.0,143.0,123.5,1.0,1.0
67.0,133.0,125.0,34.0,128.0,135.0,1.0,1.0
52.0,122.0,121.0,31.0,150.0,126.0,1.0,1.0
72.0,139.0,143.0,28.0,127.0,143.0,1.0,1.0
75.0,137.0,149.0,25.0,127.0,149.0,1.0,1.0
